Ürün Adı,Fiyat,Bellek Boyutu,Artırılmış (OC) Frekans,Teknik Puan,Link
Asus Cerberus GeForce GTX 1050 Ti Advanced Edition 4G,4279.0,4 GB,1442 MHz,40,https://www.epey.com/ekran-karti/asus-cerberus-geforce-gtx-1050-ti-advanced-edition-4g-cerberus-gtx1050ti-a4g.html
Gigabyte GeForce GTX 1050 Ti D5 4G,3610.06,4 GB,1430 MHz,39,https://www.epey.com/ekran-karti/gigabyte-geforce-gtx-1050-ti-d5-4g.html
MSI GeForce GTX 1050 Ti 4GT LP,3724.0,4 GB,1392 MHz,39,https://www.epey.com/ekran-karti/msi-geforce-gtx-1050-ti-4gt-lp.html
Arktek GeForce GTX 1050 Ti,2895.0,4 GB,1392 MHz,39,https://www.epey.com/ekran-karti/arktek-geforce-gtx-1050-ti.html
Asus Phoenix GeForce GTX 1050 Ti,3592.68,4 GB,1392 MHz,39,https://www.epey.com/ekran-karti/asus-phoenix-geforce-gtx-1050-ti-ph-gtx1050ti-4g.html
Izoly Phoenix GeForce GTX 1050 Ti,2864.4,4 GB,1392 MHz,39,https://www.epey.com/ekran-karti/izoly-phoenix-geforce-gtx-1050-ti.html
Turbox GeForce GTX 1050 Ti,2879.99,4 GB,1392 MHz,39,https://www.epey.com/ekran-karti/turbox-geforce-gtx-1050-ti.html
Powergate GeForce GTX 1050 Ti 4GB DDR5,3715.51,4 GB,1392 MHz,39,https://www.epey.com/ekran-karti/powergate-geforce-gtx-1050-ti-4gb-ddr5.html
Palit GeForce GTX 1050 Ti StormX,2795.28,4 GB,1392 MHz,39,https://www.epey.com/ekran-karti/palit-geforce-gtx-1050-ti-stormx.html
Elsa GeForce GTX 1050 Ti,2900.0,4 GB,1392 MHz,39,https://www.epey.com/ekran-karti/elsa-geforce-gtx-1050-ti.html
Turbox Venom Titan S GTX1050Ti 4 GB,2883.65,4 GB,1392 MHz,39,https://www.epey.com/ekran-karti/turbox-venom-titan-s-gtx1050ti-4-gb.html
Quadro GeForce GTX 1050 Ti,3263.99,4 GB,1392 MHz,39,https://www.epey.com/ekran-karti/quadro-geforce-gtx-1050-ti.html
Biostar VA5615RF41,2868.32,4 GB,1275 MHz,38,https://www.epey.com/ekran-karti/biostar-va5615rf41.html
Biostar Radeon RX 560 4G GDDR5,2056.33,4 GB,1275 MHz,38,https://www.epey.com/ekran-karti/biostar-radeon-rx-560-4g-gddr5.html
Sapphire Pulse Radeon RX 560 4GD5,2913.06,4 GB,1226 MHz,38,https://www.epey.com/ekran-karti/sapphire-pulse-radeon-rx-560-4gd5.html
Axle Radeon RX 560 4GB DDR5 128bit Dual,2564.07,4 GB,1275 MHz,38,https://www.epey.com/ekran-karti/axle-radeon-rx-560-4gb-ddr5-128bit-dual.html
Biostar Radeon RX 560 4GB Dual Cooling,2243.9,4 GB,1275 MHz,37,https://www.epey.com/ekran-karti/biostar-radeon-rx-560-4gb-dual-cooling.html
XFX Radeon RX 560 2GB 14CU Single Fan,1799.0,2 GB,1275 MHz,37,https://www.epey.com/ekran-karti/xfx-radeon-rx-560-2gb-14cu-single-fan.html
PNY Quadro P1000,4011.84,4 GB,1480 MHz,36,https://www.epey.com/ekran-karti/pny-quadro-p1000.html
NVIDIA Quadro P1000,3808.1,4 GB,1480 MHz,36,https://www.epey.com/ekran-karti/nvidia-quadro-p1000.html
Afox Radeon RX 550 4GB,2249.99,4 GB,1183 MHz,36,https://www.epey.com/ekran-karti/afox-radeon-rx550-4gb.html
Elsa Phantom Radeon RX 550 4GB,1974.29,4 GB,1183 MHz,35,https://www.epey.com/ekran-karti/elsa-phantom-radeon-rx-550-4gb.html
Arktek Radeon RX 550 4GB 128bit,1875.0,4 GB,1287 MHz,35,https://www.epey.com/ekran-karti/arktek-radeon-rx-550-4gb-128bit.html
XFX Radeon RX 550 4GB Core Edition,2792.67,4 GB,1203 MHz,35,https://www.epey.com/ekran-karti/xfx-radeon-rx-550-4gb-core-edition.html
Gigabyte GeForce RTX 3080 Eagle OC 10G,27245.0,10 GB,1755 MHz,87,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3080-eagle-oc-10g.html
Asus TUF Gaming GeForce RTX 3080,23799.0,10 GB,1740 MHz,87,https://www.epey.com/ekran-karti/asus-tuf-gaming-geforce-rtx-3080-tuf-rtx3080-10g-v2-gaming.html
Asus ROG Strix GeForce RTX 3080 10G Gaming,26889.0,10 GB,1740 MHz,87,https://www.epey.com/ekran-karti/asus-rog-strix-rtx-3080-10g-gaming.html
Zotac Gaming GeForce RTX 3080 Trinity OC,22101.0,10 GB,1725 MHz,87,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3080-trinity-oc.html
Gigabyte GeForce RTX 3080 Eagle 10G,23473.5,10 GB,1710 MHz,87,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3080-eagle-10g.html
Palit GeForce RTX 3080 GamingPro OC,27985.0,10 GB,1740 MHz,87,https://www.epey.com/ekran-karti/palit-geforce-rtx-3080-gamingpro-oc.html
Gainward GeForce RTX 3080 Phoenix,22544.9,10 GB,1710 MHz,87,https://www.epey.com/ekran-karti/gainward-geforce-rtx-3080-phoenix.html
MSI GeForce RTX 3080 Ventus 3X 10G OC LHR,22070.32,10 GB,1740 MHz,87,https://www.epey.com/ekran-karti/msi-geforce-rtx-3080-ventus-3x-10g-oc-lhr.html
Gigabyte GeForce RTX 3080 Turbo 10G,23205.0,10 GB,1710 MHz,87,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3080-turbo-10g.html
Asus ROG Strix LC Radeon RX 6900 XT OC,33709.0,16 GB,2365 MHz,86,https://www.epey.com/ekran-karti/asus-rog-strix-lc-radeon-rx-6900-xt-oc.html
MSI Radeon RX 6900 XT Gaming Z Trio 16G,26231.58,16 GB,2425 MHz,86,https://www.epey.com/ekran-karti/msi-radeon-rx-6900-xt-gaming-z-trio-16g.html
Asus ROG Strix LC Radeon RX 6800 XT OC,19705.0,16 GB,2360 MHz,86,https://www.epey.com/ekran-karti/asus-rog-strix-lc-radeon-rx-6800-xt-oc.html
XFX Speedster MERC 319 Radeon RX 6900 XT Black,18623.07,16 GB,2365 MHz,85,https://www.epey.com/ekran-karti/xfx-speedster-merc-319-radeon-rx-6900-xt-black.html
XFX Speedster MERC 319 Radeon RX 6900 XT Black Gaming,19015.4,16 GB,2365 MHz,85,https://www.epey.com/ekran-karti/xfx-speedster-merc-319-radeon-rx-6900-xt-black-gaming.html
XFX Speedster MERC 319 Radeon RX 6900 XT Ultra Gaming,23109.79,16 GB,2340 MHz,85,https://www.epey.com/ekran-karti/xfx-speedster-merc-319-radeon-rx-6900-xt-ultra-gaming.html
Asus TUF Gaming Radeon RX 6900 XT OC,21484.11,16 GB,2340 MHz,85,https://www.epey.com/ekran-karti/asus-tuf-gaming-radeon-rx-6900-xt-oc.html
MSI Radeon RX 6900 XT Gaming X Trio,20482.55,16 GB,2340 MHz,85,https://www.epey.com/ekran-karti/msi-radeon-rx-6900-xt-gaming-x-trio.html
Asus TUF Gaming Radeon RX 6800 XT OC,20299.42,16 GB,2340 MHz,85,https://www.epey.com/ekran-karti/asus-tuf-gaming-radeon-rx-6800-xt-oc.html
Sapphire Nitro+ Radeon RX 6900 XT,19055.04,16 GB,2285 MHz,85,https://www.epey.com/ekran-karti/sapphire-nitro-plus-radeon-rx-6900-xt.html
PowerColor Red Devil Radeon RX 6800 XT 16GB GDDR6,20444.0,16 GB,2340 MHz,85,https://www.epey.com/ekran-karti/powercolor-red-devil-radeon-rx-6800-xt-16gb-gddr6.html
Gigabyte Radeon RX 6900 XT Gaming OC 16G,24999.0,16 GB,2285 MHz,85,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-6900-xt-gaming-oc-16g.html
MSI Radeon RX 6800 XT Gaming X Trio 16G,18942.33,16 GB,2285 MHz,85,https://www.epey.com/ekran-karti/msi-radeon-rx-6800-xt-gaming-x-trio-16g.html
Gigabyte Aorus Radeon RX 6800 XT Master Type C 16G,19428.28,16 GB,2310 MHz,85,https://www.epey.com/ekran-karti/gigabyte-aorus-radeon-rx-6800-xt-master-type-c-16g.html
Gigabyte Radeon RX 6800 XT Gaming OC 16 GB,20434.0,16 GB,2285 MHz,84,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-6800-xt-gaming-oc-16-gb.html
XFX Speedster SWFT 319 Radeon RX 6900 XT Core,19444.0,16 GB,2250 MHz,84,https://www.epey.com/ekran-karti/xfx-speedster-swft-319-radeon-rx-6900-xt-core.html
XFX Speedster Merc 319 Radeon RX 6800 XT Core Gaming,24773.73,16 GB,2250 MHz,84,https://www.epey.com/ekran-karti/xfx-speedster-merc-319-radeon-rx-6800-xt-core-gaming.html
XFX Speedster SWFT 319 Radeon RX 6800 XT Core,19367.11,16 GB,2250 MHz,84,https://www.epey.com/ekran-karti/xfx-speedster-swft-319-radeon-rx-6800-xt-core.html
Gigabyte Radeon RX 6900 XT 16G,20674.04,16 GB,2250 MHz,84,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-6900-xt-16g.html
NVIDIA Quadro RTX 8000,74624.1,48 GB,1770 MHz,82,https://www.epey.com/ekran-karti/nvidia-quadro-rtx-8000.html
XFX Speedster MERC 319 Radeon RX 6800 Black Gaming,20225.0,16 GB,2190 MHz,81,https://www.epey.com/ekran-karti/xfx-speedster-merc-319-radeon-rx-6800-black-gaming.html
MSI GeForce Radeon RX 6800 Gaming X Trio 16G,21740.0,16 GB,2155 MHz,81,https://www.epey.com/ekran-karti/msi-geforce-radeon-rx-6800-gaming-x-trio-16g.html
Gigabyte Radeon RX 6800 Gaming OC 16G,22723.0,16 GB,2155 MHz,81,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-6800-gaming-oc-16g.html
MSI GeForce RTX 3070 Ti Suprim X 8G,20815.0,8 GB,1875 MHz,79,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-ti-suprim-x-8g.html
Asus ROG Strix GeForce RTX 3070 Ti OC Edition,22839.0,8 GB,1875 MHz,79,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-3070-ti-oc-edition.html
Asus TUF Gaming GeForce RTX 3070 Ti OC Edition,18800.52,8 GB,1815 MHz,79,https://www.epey.com/ekran-karti/asus-tuf-gaming-geforce-rtx-3070-ti-oc-edition.html
PNY Quadro RTX 6000,48878.36,24 GB,1770 MHz,78,https://www.epey.com/ekran-karti/pny-nvidia-quadro-rtx-6000-24-gb.html
Gigabyte Aorus GeForce RTX 3070 Ti Master 8G,17152.75,8 GB,1875 MHz,78,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-3070-ti-master-8g.html
Gigabyte GeForce RTX 3070 Ti Gaming OC 8G,16544.0,8 GB,1830 MHz,78,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3070-ti-gaming-oc-8g.html
Zotac Gaming GeForce RTX 3070 Ti AMP Holo,17567.99,8 GB,1830 MHz,78,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3070-ti-amp-holo.html
MSI GeForce RTX 3070 Ti Gaming X Trio 8G,18237.54,8 GB,1830 MHz,78,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-ti-gaming-x-trio-8g.html
Zotac Gaming GeForce RTX 3070 Ti Trinity OC,17567.99,8 GB,1800 MHz,78,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3070-ti-trinity-oc.html
MSI GeForce RTX 3070 Ti Ventus 3X 8G OC,19273.8,8 GB,1800 MHz,77,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-ti-ventus-3x-8g-oc.html
XFX Speedster Merc 319 Radeon RX 6700 XT Black Gaming,13806.0,12 GB,2622 MHz,77,https://www.epey.com/ekran-karti/xfx-speedster-merc-319-radeon-rx-6700-xt-black-gaming.html
XFX Speedster QICK 319 Radeon RX 6700 XT Black,13115.4,12 GB,2622 MHz,76,https://www.epey.com/ekran-karti/xfx-speedster-qick-319-radeon-rx-6700-xt-black.html
Sapphire Nitro+ Radeon RX 6700 XT,16887.5,12 GB,2622 MHz,76,https://www.epey.com/ekran-karti/sapphire-nitro-plus-radeon-rx-6700-xt.html
Gigabyte Aorus Radeon RX 6700 XT Elite 12G,14299.0,12 GB,2622 MHz,76,https://www.epey.com/ekran-karti/gigabyte-aorus-radeon-rx-6700-xt-elite-12g.html
Gigabyte Radeon RX 6700 XT Gaming OC 12G,15785.0,12 GB,2622 MHz,76,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-6700-xt-gaming-oc-12g.html
Asus ROG Strix Radeon RX 6700 XT OC Edition 12GB GDDR6,13992.0,12 GB,2622 MHz,76,https://www.epey.com/ekran-karti/asus-rog-strix-radeon-rx-6700-xt-oc-edition-12gb-gddr6.html
MSI Radeon RX 6700 XT Gaming X 12G,16405.0,12 GB,2622 MHz,76,https://www.epey.com/ekran-karti/msi-radeon-rx-6700-xt-gaming-x-12g.html
ASRock Radeon RX 6700 XT Challenger Pro 12GB OC,14966.87,12 GB,2620 MHz,76,https://www.epey.com/ekran-karti/asrock-radeon-rx-6700-xt-challenger-pro-12gb-oc.html
Asus TUF Gaming Radeon RX 6700 XT OC Edition,13472.0,12 GB,2622 MHz,76,https://www.epey.com/ekran-karti/asus-tuf-gaming-radeon-rx-6700-xt-oc-edition.html
MSI Radeon RX 6700 XT Mech 2X 12G OC,13963.55,12 GB,2620 MHz,76,https://www.epey.com/ekran-karti/msi-radeon-rx-6700-xt-mech-2x-12g-oc.html
XFX Speedster SWFT 309 Radeon RX 6700 XT Core,12996.0,12 GB,2581 MHz,76,https://www.epey.com/ekran-karti/xfx-speedster-swft-309-radeon-rx-6700-xt-core.html
MSI Radeon RX 6700 XT Mech 2X 12G,15542.0,12 GB,2581 MHz,76,https://www.epey.com/ekran-karti/msi-radeon-rx-6700-xt-mech-2x-12g.html
Asus ROG Strix GeForce RTX 3070 V2 OC,18734.0,8 GB,1935 MHz,75,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-3070-v2-oc.html
MSI GeForce RTX 3070 Suprim X 8G,17299.0,8 GB,1920 MHz,75,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-suprim-x-8g.html
MSI GeForce RTX 3070 Suprim X 8G LHR,16404.0,8 GB,1920 MHz,75,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-suprim-x-8g-lhr.html
Asus TUF Gaming GeForce RTX 3070 OC Edition,17450.0,8 GB,1845 MHz,75,https://www.epey.com/ekran-karti/asus-tuf-gaming-geforce-rtx-3070-oc-edition.html
Asus Dual GeForce RTX 3070 OC Edition 8GB GDDR6,15273.88,8 GB,1800 MHz,75,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-3070-oc-edition-8gb-gddr6.html
Asus Dual GeForce RTX 3070 8GB GDDR6,15300.0,8 GB,1755 MHz,75,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-3070-8gb-gddr6.html
MSI GeForce RTX 3070 Gaming Z Trio 8G LHR,14499.0,8 GB,1845 MHz,75,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-gaming-z-trio-8g-lhr.html
MSI GeForce RTX 3070 Gaming Z Trio 8G,16999.0,8 GB,1845 MHz,75,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-gaming-z-trio-8g.html
Gigabyte Aorus GeForce RTX 3070 Master 8G,14989.0,8 GB,1845 MHz,74,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-3070-master-8g.html
MSI GeForce RTX 3070 Ventus 2X 8G OC LHR,14555.0,8 GB,1755 MHz,74,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-ventus-2x-8g-oc-lhr.html
Evga GeForce RTX 3070 FTW3 Ultra Gaming,25406.0,8 GB,1815 MHz,74,https://www.epey.com/ekran-karti/evga-geforce-rtx-3070-ftw3-ultra-gaming.html
Gigabyte GeForce RTX 3070 Gaming OC 8G,13999.0,8 GB,1815 MHz,74,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3070-gaming-oc-8g.html
Gigabyte GeForce RTX 3070 Vision OC 8G,26522.82,8 GB,1815 MHz,74,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3070-vision-oc-8g.html
Asus TUF Gaming GeForce RTX 3070,15077.04,8 GB,1755 MHz,74,https://www.epey.com/ekran-karti/asus-tuf-gaming-geforce-rtx-3070.html
Zotac GeForce RTX 3070 AMP Holo,15310.39,8 GB,1785 MHz,74,https://www.epey.com/ekran-karti/zotac-geforce-rtx-3070-amp-holo.html
Inno3D GeForce RTX 3070 iChill X4,13405.99,8 GB,1785 MHz,74,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3070-ichill-x4.html
Gainward GeForce RTX 3070 Phoenix GS,14744.99,8 GB,1770 MHz,74,https://www.epey.com/ekran-karti/gainward-geforce-rtx-3070-phoenix-gs.html
Gigabyte GeForce RTX 3070 Eagle OC 8G,24213.6,8 GB,1770 MHz,74,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3070-eagle-oc-8g.html
Zotac Gaming GeForce RTX 3070 Twin Edge OC White Edition,14591.99,8 GB,1755 MHz,74,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3070-twin-edge-oc-white-edition.html
Zotac Gaming GeForce RTX 3070 Twin Edge OC,14051.0,8 GB,1755 MHz,74,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3070-twin-edge-oc.html
Evga GeForce RTX 3070 XC3 Ultra Gaming,15744.99,8 GB,1730 MHz,74,https://www.epey.com/ekran-karti/evga-geforce-rtx-3070-xc3-ultra-gaming.html
Palit GeForce RTX 3070 GamingPro,14555.0,8 GB,1725 MHz,74,https://www.epey.com/ekran-karti/palit-geforce-rtx-3070-gamingpro.html
Gainward GeForce RTX 3070 Phoenix,14049.04,8 GB,1725 MHz,74,https://www.epey.com/ekran-karti/gainward-geforce-rtx-3070-phoenix.html
MSI GeForce RTX 3070 Ventus 3X OC,19046.0,8 GB,1755 MHz,74,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-ventus-3x-oc.html
Asus ROG Strix GeForce RTX 3060 Ti OC,14944.0,8 GB,1890 MHz,71,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-3060-ti-oc.html
Asus TUF Gaming GeForce RTX 3060 Ti V2 OC,12499.0,8 GB,1785 MHz,71,https://www.epey.com/ekran-karti/asus-tuf-gaming-geforce-rtx-3060-ti-v2-oc.html
Asus TUF Gaming GeForce RTX 3060 Ti OC,12499.0,8 GB,1785 MHz,71,https://www.epey.com/ekran-karti/asus-tuf-gaming-geforce-rtx-3060-ti-oc.html
Asus Dual GeForce RTX 3060 Ti OC,11037.73,8 GB,1740 MHz,71,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-3060-ti-oc.html
MSI GeForce RTX 3060 Ti Gaming Z Trio 8G LHR,15079.0,8 GB,1845 MHz,71,https://www.epey.com/ekran-karti/msi-geforce-rtx-3060-ti-gaming-z-trio-8g-lhr.html
Asus Dual GeForce RTX 3060 Ti V2 Mini OC,11955.0,8 GB,1710 MHz,71,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-3060-ti-v2-mini-oc.html
Asus Dual GeForce RTX 3060 Ti V2 Mini,11667.9,8 GB,1695 MHz,71,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-3060-ti-v2-mini.html
MSI GeForce RTX 3060 Ti Gaming X 8G LHR,12069.29,8 GB,1770 MHz,71,https://www.epey.com/ekran-karti/msi-geforce-rtx-3060-ti-gaming-x-8g-lhr.html
Gigabyte Aorus GeForce RTX 3060 Ti Elite 8G 2.0,14055.99,8 GB,1785 MHz,70,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-3060-ti-elite-8g-2-0.html
Gigabyte GeForce RTX 3060 Ti Gaming OC Pro 8G,29000.0,8 GB,1770 MHz,70,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3060-ti-gaming-oc-pro-8g.html
Gigabyte Aorus GeForce RTX 3060 Ti Elite 8G,17867.41,8 GB,1785 MHz,70,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-3060-ti-elite-8g.html
PNY RTX A4000,19328.47,16 GB,1560 MHz,70,https://www.epey.com/ekran-karti/pny-rtx-a4000.html
Palit GeForce RTX 3060 Ti Dual OC,11879.0,8 GB,1695 MHz,70,https://www.epey.com/ekran-karti/palit-geforce-rtx-3060-ti-dual-oc.html
Palit GeForce RTX 3060 Ti Dual,14844.0,8 GB,1665 MHz,70,https://www.epey.com/ekran-karti/palit-geforce-rtx-3060-ti-dual.html
MSI GeForce RTX 3060 Ti Ventus 2X 8G OCV1 LHR,11481.7,8 GB,1695 MHz,70,https://www.epey.com/ekran-karti/msi-geforce-rtx-3060-ti-ventus-2x-8g-ocv1-lhr.html
Gainward GeForce RTX 3060 Ti Ghost,11868.54,8 GB,1665 MHz,69,https://www.epey.com/ekran-karti/gainward-geforce-rtx-3060-ti-ghost.html
Seclife Radeon RX 550 4GB,2356.57,4 GB,1183 MHz,35,https://www.epey.com/ekran-karti/seclife-radeon-rx-550-4gb.html
Turbox Radeon RX 550 4GB,1979.9,4 GB,1183 MHz,35,https://www.epey.com/ekran-karti/turbox-radeon-rx-550-4gb.html
Asus Phoenix Radeon RX 550 4G Evo,2889.0,4 GB,1183 MHz,35,https://www.epey.com/ekran-karti/asus-phoenix-radeon-rx-550-4g-evo.html
MSI Radeon RX 550 2GT LP OC,1823.85,2 GB,1203 MHz,34,https://www.epey.com/ekran-karti/msi-radeon-rx-550-2gt-lp-oc.html
PNY Quadro P620,2273.9,2 GB,1354 MHz,34,https://www.epey.com/ekran-karti/pny-quadro-p620.html
XFX Radeon RX 550 2GB Double Dissipation,1699.44,2 GB,1203 MHz,34,https://www.epey.com/ekran-karti/xfx-radeon-rx-550-2gb-double-dissipation.html
Biostar Radeon RX 550 4GB 128bit GDDR5,1823.04,4 GB,1071 MHz,34,https://www.epey.com/ekran-karti/biostar-radeon-rx-550-4gb-128bit-gddr5.html
Asus GeForce GT 1030 2GB GDDR5,1050.33,2 GB,1506 MHz,34,https://www.epey.com/ekran-karti/asus-geforce-gt-1030-2gb-gddr5.html
MSI GeForce GT 1030 Aero ITX 2G OC,1325.07,2 GB,1518 MHz,34,https://www.epey.com/ekran-karti/msi-geforce-gt-1030-aero-itx-2g-oc.html
Sapphire Pulse Radeon RX 550 2GD5,1678.59,2 GB,1071 MHz,34,https://www.epey.com/ekran-karti/sapphire-pulse-radeon-rx-550-2gd5.html
Colorful GeForce GT 1030 2GB GDDR5,1524.9,2 GB,1468 MHz,34,https://www.epey.com/ekran-karti/colorful-geforce-gt-1030-2gb-gddr5.html
MSI GeForce GT 1030 2GH LP OC,999.0,2 GB,1518 MHz,33,https://www.epey.com/ekran-karti/msi-geforce-gt-1030-2gh-lp-oc.html
Asus Phoenix GeForce GT 1030 OC,1136.8,2 GB,1531 MHz,33,https://www.epey.com/ekran-karti/asus-phoenix-geforce-gt-1030-oc.html
PNY Quadro P600,1599.0,2 GB,1455 MHz,33,https://www.epey.com/ekran-karti/pny-quadro-p600.html
Turbox GeForce GT 1030,999.99,2 GB,1468 MHz,33,https://www.epey.com/ekran-karti/turbox-geforce-gt-1030.html
MSI GeForce GT 1030 2GHD4 LP OC,1023.36,2 GB,1430 MHz,33,https://www.epey.com/ekran-karti/msi-geforce-gt-1030-2ghd4-lp-oc.html
Asus GeForce GT 1030,1025.21,2 GB,1506 MHz,33,https://www.epey.com/ekran-karti/asus-geforce-gt-1030.html
Turbox GeForce GTX 750 Ti 4G,1691.91,4 GB,1085 MHz,33,https://www.epey.com/ekran-karti/turbox-geforce-gtx-750-ti-4g.html
Gigabyte GeForce GT 1030 Silent Low Profile 2G,1175.0,2 GB,1506 MHz,33,https://www.epey.com/ekran-karti/gigabyte-geforce-gt-1030-silent-low-profile-2g.html
Gigabyte GeForce GT 1030 Low Profile D4 2G,873.27,2 GB,1417 MHz,31,https://www.epey.com/ekran-karti/gigabyte-geforce-gt-1030-low-profile-d4-2g.html
MSI GeForce GT 1030 Aero ITX 2GD4 OC,1213.46,2 GB,1430 MHz,31,https://www.epey.com/ekran-karti/msi-geforce-gt-1030-aero-itx-2gd4-oc.html
Turbox GeForce GTX 750 2G,899.99,2 GB,1085 MHz,30,https://www.epey.com/ekran-karti/turbox-geforce-gtx-750-2g.html
Afox GeForce GTX 750 Ti 4GB,2434.32,4 GB,-,30,https://www.epey.com/ekran-karti/afox-geforce-gtx-750-ti-4gb.html
Axle GeForce GTX 750 Ti 4G,2077.47,4 GB,-,29,https://www.epey.com/ekran-karti/axle-geforce-gtx-750-ti-4g.html
Turbox Venom Titan M GTX750Ti 4 GB,1823.9,4 GB,-,29,https://www.epey.com/ekran-karti/turbox-venom-titan-m-gtx750ti-4-gb.html
Turbox Radeon R7 240 2GB,682.99,2 GB,1150 MHz,28,https://www.epey.com/ekran-karti/turbox-radeon-r7-240-2gb.html
Asus GeForce GT 730,1003.8,2 GB,927 MHz,27,https://www.epey.com/ekran-karti/asus-geforce-gt-730.html
Turbox GeForce GT 740 4G GDDR5,1062.19,4 GB,-,27,https://www.epey.com/ekran-karti/turbox-geforce-gt-740-4g-gddr5.html
Quadro GeForce 610 2G 64bit,470.76,2 GB,1620 MHz,26,https://www.epey.com/ekran-karti/quadro-geforce-610-2g-64bit.html
Seclife GeForce GT 610 DDR3 2GB 64bit,479.91,2 GB,1620 MHz,26,https://www.epey.com/ekran-karti/seclife-geforce-gt-610-ddr3-2gb-64bit.html
Powergate GeForce GT 610 2GB,562.42,2 GB,1620 MHz,26,https://www.epey.com/ekran-karti/powergate-geforce-gt-610-2gb.html
Turbox GuildWreck GT740 4GB,1114.99,2 GB,-,26,https://www.epey.com/ekran-karti/turbox-guildwreck-gt740-4gb.html
Turbox GeForce GT 740 2G GDDR5,779.99,2 GB,-,26,https://www.epey.com/ekran-karti/turbox-geforce-gt-740-2g-gddr5.html
Palit GeForce GT 730 2GB GDDR5,559.0,2 GB,-,25,https://www.epey.com/ekran-karti/palit-geforce-gt-730-2gb-gddr5.html
Asboard Radeon R7 240 4GB,1180.0,4 GB,780 MHz,25,https://www.epey.com/ekran-karti/asboard-radeon-r7-240-4gb.html
Elsa Phantom Radeon R7 240 4GB 128bit GDDR3,1599.0,4 GB,780 MHz,25,https://www.epey.com/ekran-karti/elsa-phantom-radeon-r7-240-4gb-128bit-gddr3.html
MSI GeForce GT 730 4GB DDR3 64bit,1151.99,4 GB,1006 MHz,24,https://www.epey.com/ekran-karti/msi-geforce-gt-730-4gb-ddr3-64bit.html
Gigabyte GeForce GT 730 2 GB Rev. 2.0,1350.1,2 GB,-,24,https://www.epey.com/ekran-karti/gigabyte-geforce-gt-730-2-gb-rev-2-0.html
Turbox GeForce GT 730 LP 4GB,838.07,4 GB,1020 MHz,24,https://www.epey.com/ekran-karti/turbox-geforce-gt-730-lp-4gb.html
Powergate PG-GT730-D5-01AJ484,802.87,2 GB,-,23,https://www.epey.com/ekran-karti/powergate-pg-gt730-d5-01aj484.html
Asus GeForce GT 710,607.06,2 GB,-,23,https://www.epey.com/ekran-karti/asus-geforce-gt-710-gt710-sl-2gd5.html
Quadro GeForce GT740 4GD3L,999.0,4 GB,-,23,https://www.epey.com/ekran-karti/quadro-geforce-gt740-4gd3l.html
Asus GeForce GT 710 2G,946.37,2 GB,-,22,https://www.epey.com/ekran-karti/asus-geforce-gt-710-2g-gt710-4h-sl-2gd5.html
Afox GeForce GT 730 LP 4G v2,979.12,4 GB,-,22,https://www.epey.com/ekran-karti/afox-geforce-gt-730-lp-4g-v2-af730-4096d3l4-v2.html
